"How would you implement a binary search algorithm?","Keep dividing the array in half until you find the target.","Average"
"How would you implement a binary search algorithm?","I don't know how binary search works.","Poor"
"What's the difference between call, apply, and bind in JavaScript?","call invokes function with this and individual args: func.call(obj, a, b); apply uses array: func.apply(obj, [a, b]); bind returns new function with bound this: newFunc = func.bind(obj).","Good"
"What's the difference between call, apply, and bind in JavaScript?","They're different ways to set the 'this' value in functions.","Average"
"What's the difference between call, apply, and bind in JavaScript?","I'm not familiar with these methods.","Poor"
"How would you find the factorial of a number?","Recursive: if n <= 1 return 1, else return n * factorial(n-1). Iterative: result = 1, for i from 1 to n: result *= i. Handle edge cases like negative numbers and 0! = 1.","Good"
"How would you find the factorial of a number?","Multiply all numbers from 1 to n.","Average"
"How would you find the factorial of a number?","I don't remember what factorial means.","Poor"
"Explain the concept of hoisting in JavaScript.","Hoisting moves variable and function declarations to the top of their scope during compilation. var variables are hoisted but initialized as undefined; let/const are hoisted but in temporal dead zone until declaration.","Good"
"Explain the concept of hoisting in JavaScript.","Variables and functions are moved to the top of their scope.","Average"
"Explain the concept of hoisting in JavaScript.","I don't know what hoisting is.","Poor"
"How would you implement a function to find the nth Fibonacci number?","Iterative approach for efficiency: a=0, b=1, for i from 2 to n: temp=a+b, a=b, b=temp. Recursive is simple but O(2^n). Can also use memoization for recursive O(n) solution.","Good"
"How would you implement a function to find the nth Fibonacci number?","Add the two previous numbers in the sequence.","Average"
"How would you implement a function to find the nth Fibonacci number?","I don't know the Fibonacci sequence.","Poor"
"What's the difference between null and undefined in JavaScript?","undefined means variable declared but not assigned a value, or function doesn't return anything. null is an intentional assignment representing 'no value'. typeof null is 'object' (historic bug), typeof undefined is 'undefined'.","Good"
"What's the difference between null and undefined in JavaScript?","null is intentionally empty, undefined means not set.","Average"
"What's the difference between null and undefined in JavaScript?","They're both empty values.","Poor"
"How would you implement a stack using arrays?","Use array methods: push() for stack push, pop() for stack pop, length for size, arr[arr.length-1] for peek. Or implement custom Stack class with these operations maintaining LIFO principle.","Good"
"How would you implement a stack using arrays?","Use push to add elements and pop to remove them.","Average"
"How would you implement a stack using arrays?","I'm not sure how stacks work.","Poor"
"Explain event bubbling and capturing in JavaScript.","Event bubbling: event starts at target element and bubbles up to document. Capturing: event starts at document and captures down to target. addEventListener's third parameter controls this: true for capturing, false (default) for bubbling.","Good"
"Explain event bubbling and capturing in JavaScript.","Events move up and down the DOM tree.","Average"
"Explain event bubbling and capturing in JavaScript.","I don't know about event propagation.","Poor"
"How would you check if two strings are anagrams?","Sort both strings and compare, or count character frequencies using hash map. Both should have same characters with same counts. Handle case sensitivity and spaces based on requirements. Time: O(n log n) for sorting, O(n) for counting.","Good"
"How would you check if two strings are anagrams?","Check if they have the same letters.","Average"
"How would you check if two strings are anagrams?","I don't know what anagrams are.","Poor"
"What's the difference between let, const, and var in JavaScript?","var: function-scoped, hoisted, can redeclare; let: block-scoped, hoisted but temporal dead zone, can reassign; const: block-scoped, hoisted but temporal dead zone, cannot reassign, must initialize at declaration.","Good"
"What's the difference between let, const, and var in JavaScript?","var is older, let and const are newer with better scoping.","Average"
"What's the difference between let, const, and var in JavaScript?","They're all ways to declare variables.","Poor"
"How would you implement a queue using arrays?","Use shift() to dequeue (remove from front) and push() to enqueue (add to rear). Or use two pointers: front and rear indices to avoid O(n) shift operations, implementing circular queue for efficiency.","Good"
"How would you implement a queue using arrays?","Add elements to one end and remove from the other.","Average"
"How would you implement a queue using arrays?","I'm not sure how queues work.","Poor"
"Explain the this keyword in JavaScript.","'this' refers to the object the function is called on. In methods: this = object; in functions: this = window (or undefined in strict mode); arrow functions inherit this from enclosing scope; can be explicitly set with call/apply/bind.","Good"
"Explain the this keyword in JavaScript.","'this' refers to the current object.","Average"
"Explain the this keyword in JavaScript.","I find 'this' confusing.","Poor"
"How would you find the missing number in an array of 1 to n?","Mathematical approach: sum of 1 to n is n(n+1)/2, subtract actual array sum. XOR approach: XOR all numbers 1 to n, then XOR all array elements - result is missing number. Both O(n) time, O(1) space.","Good"
"How would you find the missing number in an array of 1 to n?","Add up all numbers and see what's missing from the expected sum.","Average"
"How would you find the missing number in an array of 1 to n?","I would need to think about this problem.","Poor"
"What are promises in JavaScript and how do they work?","Promises represent eventual completion/failure of async operations. States: pending, fulfilled, rejected. Use .then() for success, .catch() for errors, .finally() for cleanup. Can chain promises and use Promise.all() for multiple async operations.","Good"
"What are promises in JavaScript and how do they work?","Promises handle asynchronous operations and can succeed or fail.","Average"
"What are promises in JavaScript and how do they work?","I don't understand promises.","Poor"
"How would you implement a function to merge two sorted arrays?","Use two pointers approach: compare elements from both arrays, add smaller to result, advance that pointer. Continue until one array exhausted, then append remaining elements. Time: O(m+n), Space: O(m+n).","Good"
"How would you implement a function to merge two sorted arrays?","Compare elements from both arrays and combine them in order.","Average"
"How would you implement a function to merge two sorted arrays?","I'm not sure how to merge sorted arrays.","Poor"
"Explain async/await in JavaScript.","async/await is syntactic sugar over promises. async function returns promise; await pauses execution until promise resolves. Makes async code look synchronous. Use try/catch for error handling instead of .catch().","Good"
"Explain async/await in JavaScript.","It's a way to handle asynchronous code that looks more like regular code.","Average"
"Explain async/await in JavaScript.","I don't know about async/await.","Poor"
"How would you implement a function to rotate an array to the right by k positions?","Reverse entire array, then reverse first k elements, then reverse remaining elements. Or use modular arithmetic: new_position = (current_position + k) % array_length. Handle edge cases where k > array length.","Good"
"How would you implement a function to rotate an array to the right by k positions?","Move elements k positions to the right, wrapping around.","Average"
"How would you implement a function to rotate an array to the right by k positions?","I'm not sure how to rotate arrays.","Poor"
"What's the difference between == and Object.is() in JavaScript?","== does type coercion before comparison; Object.is() is stricter than ===. Key differences: Object.is(NaN, NaN) is true (=== returns false), Object.is(+0, -0) is false (=== returns true).","Good"
"What's the difference between == and Object.is() in JavaScript?","Object.is() is more precise than == for certain edge cases.","Average"
"What's the difference between == and Object.is() in JavaScript?","I haven't used Object.is() before.","Poor"
"How would you implement a function to find the longest common substring?","Use dynamic programming: create 2D table where dp[i][j] represents length of common substring ending at s1[i] and s2[j]. Track maximum length and ending position. Time: O(m*n), Space: O(m*n).","Good"
"How would you implement a function to find the longest common substring?","Compare all possible substrings between the two strings.","Average"
"How would you implement a function to find the longest common substring?","I don't know how to solve this problem.","Poor"
"Explain the prototype chain in JavaScript.","Every object has a prototype property pointing to another object. When accessing a property, JS looks up the prototype chain until found or reaches null. Functions have prototype property; objects have __proto__ pointing to constructor's prototype.","Good"
"Explain the prototype chain in JavaScript.","Objects inherit properties from their prototypes.","Average"
"Explain the prototype chain in JavaScript.","I don't understand prototypes.","Poor"
"How would you implement a function to count the occurrences of each character in a string?","Use a hash map/object: iterate through string, for each character increment its count in the map. Return the map. Time: O(n), Space: O(k) where k is number of unique characters.","Good"
"How would you implement a function to count the occurrences of each character in a string?","Loop through the string and keep track of how many times each character appears.","Average"
"How would you implement a function to count the occurrences of each character in a string?","I'm not sure how to count characters efficiently.","Poor"
"What's the difference between map() and forEach() in JavaScript?","map() returns new array with transformed elements, doesn't mutate original; forEach() executes function for each element, returns undefined, used for side effects. Use map() for transformations, forEach() for actions.","Good"
"What's the difference between map() and forEach() in JavaScript?","map() returns a new array, forEach() doesn't return anything.","Average"
"What's the difference between map() and forEach() in JavaScript?","They're both ways to loop through arrays.","Poor"
"How would you implement a function to check if a number is prime?","Check divisibility from 2 to sqrt(n). If any number divides evenly, it's not prime. Optimizations: check 2 separately, then only odd numbers from 3 to sqrt(n). Time: O(sqrt(n)).","Good"
"How would you implement a function to check if a number is prime?","Check if any number from 2 to n-1 divides it evenly.","Average"
"How would you implement a function to check if a number is prime?","I don't remember what makes a number prime.","Poor"
"Explain arrow functions and their differences from regular functions.","Arrow functions: shorter syntax, don't have their own 'this' (inherit from enclosing scope), can't be constructors, don't have arguments object, can't be hoisted. Use for callbacks and when you want lexical 'this'.","Good"
"Explain arrow functions and their differences from regular functions.","Arrow functions are shorter and handle 'this' differently.","Average"
"Explain arrow functions and their differences from regular functions.","Arrow functions are just a shorter way to write functions.","Poor"
"How would you implement a function to flatten a nested array?","Recursive approach: check if element is array, if yes recursively flatten, else add to result. Or use ES6 flat() method. For deep nesting: arr.flat(Infinity). Can also use reduce with concat.","Good"
"How would you implement a function to flatten a nested array?","Go through each element and if it's an array, break it down further.","Average"
"How would you implement a function to flatten a nested array?","I'm not sure how to handle nested arrays.","Poor"
"What's the difference between slice() and splice() in JavaScript?","slice() returns new array with selected elements, doesn't mutate original: arr.slice(start, end). splice() changes original array, can add/remove elements: arr.splice(start, deleteCount, ...items). splice() returns removed elements.","Good"
"What's the difference between slice() and splice() in JavaScript?","slice() copies part of array, splice() modifies the original array.","Average"
"What's the difference between slice() and splice() in JavaScript.","They're both array methods.","Poor"
"Question","Answer","Quality"
"Implement a function to check if a string contains only unique characters.","I'd use a Set or hash map to track seen characters. Iterate through string, if character already exists return false, otherwise add to set. Return true if loop completes. Time: O(n), Space: O(k) where k is unique characters.","Good"
"Implement a function to check if a string contains only unique characters.","Loop through the string and check if each character appears more than once.","Average"
"Implement a function to check if a string contains only unique characters.","I'm not sure how to solve this efficiently.","Poor"
"How would you implement a function to find all permutations of a string?","Use backtracking: for each position, try all remaining characters, recurse for remaining positions, backtrack by removing character. Base case: when current permutation length equals string length. Time: O(n!), Space: O(n).","Good"
"How would you implement a function to find all permutations of a string?","Try all possible arrangements of the characters.","Average"
"How would you implement a function to find all permutations of a string?","I don't know how to generate permutations.","Poor"
"Write a function to find the first non-repeating character in a string.","Two-pass approach: first pass count character frequencies using hash map, second pass find first character with count 1. Time: O(n), Space: O(k). Can optimize to single pass using LinkedHashMap.","Good"
"Write a function to find the first non-repeating character in a string.","Count how many times each character appears and find the first one that appears once.","Average"
"Write a function to find the first non-repeating character in a string.","I would need to think about this problem.","Poor"
"How would you implement string compression (e.g., 'aabcccccaaa' becomes 'a2b1c5a3')?","Iterate through string with two pointers, count consecutive characters, append character and count to result. Handle edge cases like single characters and empty strings. Time: O(n), Space: O(n).","Good"
"How would you implement string compression (e.g., 'aabcccccaaa' becomes 'a2b1c5a3')?","Count consecutive characters and write the character followed by its count.","Average"
"How would you implement string compression (e.g., 'aabcccccaaa' becomes 'a2b1c5a3')?","I'm not sure how to approach string compression.","Poor"
"Implement a function to find the longest substring without repeating characters.","Use sliding window with hash set: expand right pointer adding characters, if duplicate found, shrink left pointer until duplicate removed. Track maximum window size. Time: O(n), Space: O(k).","Good"
"Implement a function to find the longest substring without repeating characters.","Use two pointers and keep track of characters you've seen.","Average"
"Implement a function to find the longest substring without repeating characters.","I don't understand the sliding window technique.","Poor"
"How would you find the second largest element in an array?","Single pass: track largest and second largest values, handle edge cases like duplicates and arrays with less than 2 elements. Time: O(n), Space: O(1). Alternative: sort and take second last unique element.","Good"
"How would you find the second largest element in an array?","Sort the array and take the second to last element.","Average"
"How would you find the second largest element in an array?","I would need to loop through multiple times.","Poor"
"Implement a function to find the intersection of two arrays.","Use hash set: add all elements from first array to set, iterate through second array checking if element exists in set. Time: O(m+n), Space: O(min(m,n)). Handle duplicates based on requirements.","Good"
"Implement a function to find the intersection of two arrays.","Compare elements from both arrays to find common ones.","Average"
"Implement a function to find the intersection of two arrays.","I'm not sure how to find common elements efficiently.","Poor"
"How would you implement a function to move all zeros to the end of an array?","Two pointers: left pointer tracks position for non-zero elements, right pointer iterates through array. When non-zero found, swap with left position and increment left. Time: O(n), Space: O(1).","Good"
"How would you implement a function to move all zeros to the end of an array?","Go through the array and move zeros to the back.","Average"
"How would you implement a function to move all zeros to the end of an array?","I would create a new array without zeros.","Poor"
"Write a function to find the majority element in an array (appears more than n/2 times).","Boyer-Moore algorithm: maintain candidate and count, if count is 0 set new candidate, increment count if same as candidate, decrement otherwise. Verify candidate appears > n/2 times. Time: O(n), Space: O(1).","Good"
"Write a function to find the majority element in an array (appears more than n/2 times).","Count frequencies of all elements and find the one with highest count.","Average"
"Write a function to find the majority element in an array (appears more than n/2 times).","I don't know what a majority element is.","Poor"
"How would you implement a function to find pairs in an array that sum to a target?","Use hash map: for each element, check if (target - element) exists in map, if yes return pair, otherwise add element to map. Time: O(n), Space: O(n). For sorted array, use two pointers.","Good"
"How would you implement a function to find pairs in an array that sum to a target?","Check all possible pairs to see which ones add up to the target.","Average"
"How would you implement a function to find pairs in an array that sum to a target?","I would need to use nested loops.","Poor"
"Implement a function to check if an array is a rotation of another array.","Concatenate first array with itself, check if second array is a substring of the result. Or use two pointers to find rotation point and compare segments. Time: O(n), Space: O(n).","Good"
"Implement a function to check if an array is a rotation of another array.","Find where the rotation starts and compare the parts.","Average"
"Implement a function to check if an array is a rotation of another array.","I don't understand array rotations.","Poor"
"How would you implement a binary tree node structure?","Define class/struct with data, left, and right pointers: class TreeNode { constructor(val) { this.val = val; this.left = null; this.right = null; }}. Include helper methods for insertion, traversal as needed.","Good"
"How would you implement a binary tree node structure?","Create a structure with a value and pointers to left and right children.","Average"
"How would you implement a binary tree node structure?","I'm not familiar with tree data structures.","Poor"
"Write a function to perform inorder traversal of a binary tree.","Recursive: visit left subtree, process current node, visit right subtree. Iterative: use stack to simulate recursion. Returns values in sorted order for BST. Time: O(n), Space: O(h) where h is height.","Good"
"Write a function to perform inorder traversal of a binary tree.","Visit nodes in left-root-right order.","Average"
"Write a function to perform inorder traversal of a binary tree.","I don't know tree traversal algorithms.","Poor"
"How would you find the maximum depth of a binary tree?","Recursive: return 1 + max(depth(left), depth(right)). Base case: null node returns 0. Iterative: use level-order traversal counting levels. Time: O(n), Space: O(h) for recursion stack.","Good"
"How would you find the maximum depth of a binary tree?","Count the longest path from root to any leaf.","Average"
"How would you find the maximum depth of a binary tree?","I'm not sure how to measure tree depth.","Poor"
"Implement a function to check if a binary tree is balanced.","For each node, check if height difference between left and right subtrees is ≤ 1, and both subtrees are balanced. Use helper function to calculate height. Time: O(n), Space: O(h).","Good"
"Implement a function to check if a binary tree is balanced.","Check if the left and right sides of the tree have similar heights.","Average"
"Implement a function to check if a binary tree is balanced.","I don't know what makes a tree balanced.","Poor"
"How would you implement a hash table from scratch?","Use array of buckets with linked lists for collision handling. Implement hash function, resize when load factor exceeds threshold, handle collisions with chaining or open addressing. Include get, put, remove operations.","Good"
"How would you implement a hash table from scratch?","Create an array and use a hash function to determine where to store values.","Average"
"How would you implement a hash table from scratch?","I don't understand how hash tables work internally.","Poor"
"Write a function to detect a cycle in a linked list.","Floyd's cycle detection (tortoise and hare): use two pointers, slow moves one step, fast moves two steps. If cycle exists, they'll meet. Time: O(n), Space: O(1). Alternative: use hash set to track visited nodes.","Good"
"Write a function to detect a cycle in a linked list.","Use two pointers moving at different speeds.","Average"
"Write a function to detect a cycle in a linked list.","I don't know how to detect cycles.","Poor"
"How would you implement a graph using adjacency lists?","Use hash map where key is vertex and value is list of adjacent vertices: {vertex: [neighbors]}. For weighted graphs, store {neighbor: weight} pairs. Include methods for adding vertices, edges, and traversal.","Good"
"How would you implement a graph using adjacency lists?","Create a list for each vertex containing its connected vertices.","Average"
"How would you implement a graph using adjacency lists?","I'm not familiar with graph representations.","Poor"
"Implement breadth-first search (BFS) for a graph.","Use queue: start with source vertex, mark visited, add to queue. While queue not empty, dequeue vertex, process it, add unvisited neighbors to queue. Time: O(V+E), Space: O(V).","Good"
"Implement breadth-first search (BFS) for a graph.","Visit all nodes level by level using a queue.","Average"
"Implement breadth-first search (BFS) for a graph.","I don't know BFS algorithm.","Poor"
"How would you implement depth-first search (DFS) for a graph?","Recursive: mark current vertex visited, process it, recursively visit unvisited neighbors. Iterative: use stack instead of recursion. Time: O(V+E), Space: O(V) for visited array plus recursion/stack space.","Good"
"How would you implement depth-first search (DFS) for a graph?","Go as deep as possible before backtracking.","Average"
"How would you implement depth-first search (DFS) for a graph?","I'm not familiar with DFS.","Poor"
"Write a function to implement quicksort algorithm.","Choose pivot, partition array so elements < pivot are left, > pivot are right, recursively sort left and right subarrays. Average: O(n log n), Worst: O(n²). Use random pivot for better average case.","Good"
"Write a function to implement quicksort algorithm.","Pick a pivot element and partition the array around it.","Average"
"Write a function to implement quicksort algorithm.","I don't know how quicksort works.","Poor"
"How would you implement merge sort?","Divide array in half until single elements, then merge sorted halves by comparing elements and combining in order. Always O(n log n) time, O(n) space. Stable sort algorithm.","Good"
"How would you implement merge sort?","Split the array in half and merge the sorted pieces back together.","Average"
"How would you implement merge sort?","I'm not familiar with merge sort.","Poor"
"Implement a function to perform binary search on a rotated sorted array.","Find rotation point first, then perform binary search on appropriate half. Or modify binary search: check which half is sorted, then decide which half to search based on target location.","Good"
"Implement a function to perform binary search on a rotated sorted array.","Find where the array was rotated and search the correct part.","Average"
"Implement a function to perform binary search on a rotated sorted array.","I don't know how to handle rotated arrays.","Poor"
"How would you find the kth largest element in an unsorted array?","Use quickselect algorithm (modified quicksort): partition array, if pivot position is k-1 return pivot, else recursively search appropriate partition. Average: O(n), Worst: O(n²). Heap-based solution: O(n log k).","Good"
"How would you find the kth largest element in an unsorted array?","Sort the array and take the kth element from the end.","Average"
"How would you find the kth largest element in an unsorted array?","I would need to sort the entire array.","Poor"
"Write a function to implement heap sort.","Build max heap from array, repeatedly extract maximum (root) and place at end, restore heap property. Time: O(n log n), Space: O(1). In-place sorting algorithm.","Good"
"Write a function to implement heap sort.","Use a heap data structure to sort elements.","Average"
"Write a function to implement heap sort.","I don't know how heap sort works.","Poor"
"How would you implement a function to find the lowest common ancestor in a binary tree?","Recursive approach: if current node is null or equals either target node, return current. Recursively search left and right subtrees. If both return non-null, current node is LCA. Time: O(n), Space: O(h).","Good"
"How would you implement a function to find the lowest common ancestor in a binary tree?","Find the deepest node that is an ancestor of both target nodes.","Average"
"How would you implement a function to find the lowest common ancestor in a binary tree?","I don't understand the concept of lowest common ancestor.","Poor"
"Implement dynamic programming solution for the coin change problem.","Bottom-up DP: dp[i] represents minimum coins needed for amount i. For each coin, update dp[amount] = min(dp[amount], 1 + dp[amount - coin]). Time: O(amount * coins), Space: O(amount).","Good"
"Implement dynamic programming solution for the coin change problem.","Build up the solution using smaller subproblems.","Average"
"Implement dynamic programming solution for the coin change problem.","I don't know dynamic programming.","Poor"
"How would you calculate time complexity of a nested loop algorithm?","Analyze each loop independently: outer loop runs n times, inner loop runs m times, operations inside are O(1), so total is O(n*m). For dependent loops, consider how inner loop bounds change with outer loop variable.","Good"
"How would you calculate time complexity of a nested loop algorithm?","Multiply the complexities of each loop together.","Average"
"How would you calculate time complexity of a nested loop algorithm?","I'm not sure how to analyze nested loops.","Poor"
"Explain the difference between O(n) and O(n²) time complexity with examples.","O(n) grows linearly with input size (e.g., single loop through array), O(n²) grows quadratically (e.g., nested loops). For n=1000: O(n)=1000 operations, O(n²)=1,000,000 operations. Significant difference for large inputs.","Good"
"Explain the difference between O(n) and O(n²) time complexity with examples.","O(n) is linear growth, O(n²) is quadratic growth - much faster increase.","Average"
"Explain the difference between O(n) and O(n²) time complexity with examples.","I don't understand Big O notation.","Poor"
"How do you determine space complexity of an algorithm?","Count additional memory used: variables O(1), arrays of size n O(n), recursion depth h O(h). Don't count input space unless specified. Consider worst-case scenario for variable allocations.","Good"
"How do you determine space complexity of an algorithm?","Look at how much extra memory the algorithm uses.","Average"
"How do you determine space complexity of an algorithm?","I'm not sure how to calculate space complexity.","Poor"
"What's the time complexity of common operations on different data structures?","Arrays: access O(1), search O(n), insertion/deletion O(n). Hash tables: average O(1) for all ops, worst O(n). Binary search trees: balanced O(log n), unbalanced O(n). Heaps: insert/delete O(log n), peek O(1).","Good"
"What's the time complexity of common operations on different data structures?","Different data structures have different speeds for different operations.","Average"
"What's the time complexity of common operations on different data structures?","I don't know the complexities of data structure operations.","Poor"
"How would you optimize an O(n²) algorithm to O(n log n)?","Common techniques: use sorting O(n log n) instead of nested comparisons, use binary search instead of linear search in inner loop, use divide-and-conquer approach, or use appropriate data structures like heaps or balanced trees.","Good"
"How would you optimize an O(n²) algorithm to O(n log n)?","Use better algorithms or data structures to reduce the time complexity.","Average"
"How would you optimize an O(n²) algorithm to O(n log n)?","I'm not sure how to optimize algorithms.","Poor"
"Explain what a closure is in JavaScript and provide a practical example.","A closure gives inner functions access to outer function's variables even after outer function returns. Example: function counter() { let count = 0; return function() { return ++count; }; } - returned function retains access to count.","Good"
"Explain what a closure is in JavaScript and provide a practical example.","Functions that remember variables from their parent scope.","Average"
"Explain what a closure is in JavaScript and provide a practical example.","I don't understand closures.","Poor"
"What is hoisting in JavaScript and how does it affect variable declarations?","Hoisting moves var declarations and function declarations to top of scope during compilation. var variables are initialized as undefined, let/const are in temporal dead zone until declaration line. Function expressions are not hoisted.","Good"
"What is hoisting in JavaScript and how does it affect variable declarations?","Variables and functions are moved to the top of their scope.","Average"
"What is hoisting in JavaScript and how does it affect variable declarations?","I'm not familiar with hoisting.","Poor"
"Explain the 'this' keyword in different contexts in JavaScript.","In methods: this = calling object; in functions: this = window (or undefined in strict mode); in arrow functions: this inherited from enclosing scope; in constructors: this = new instance; can be explicitly set with call/apply/bind.","Good"
"Explain the 'this' keyword in different contexts in JavaScript.","'this' refers to different objects depending on how the function is called.","Average"
"Explain the 'this' keyword in different contexts in JavaScript.","'this' is confusing and I don't understand it well.","Poor"
"How does prototypal inheritance work in JavaScript?","Objects inherit from other objects through prototype chain. Every object has __proto__ property pointing to its prototype. Constructor functions have prototype property. When accessing a property, JS looks up prototype chain until found or null.","Good"
"How does prototypal inheritance work in JavaScript?","Objects can inherit properties and methods from other objects.","Average"
"How does prototypal inheritance work in JavaScript?","I don't understand JavaScript inheritance.","Poor"
"What are the different ways to create objects in JavaScript?","Object literal {}, Object.create(), constructor functions with new, ES6 classes, factory functions. Each has different prototype chain setup and use cases. Object.create() allows explicit prototype setting.","Good"
"What are the different ways to create objects in JavaScript?","You can use object literals, constructors, or classes.","Average"
"What are the different ways to create objects in JavaScript?","I only know about object literals.","Poor"
"Explain the difference between function declarations and function expressions.","Declarations are hoisted completely (can call before definition), expressions are not hoisted. Declarations create named functions, expressions can be anonymous. Syntax: function name() {} vs var name = function() {}.","Good"
"Explain the difference between function declarations and function expressions.","Declarations are hoisted, expressions are not.","Average"
"Explain the difference between function declarations and function expressions.","I don't know the difference.","Poor"
"How do you handle errors in promises and async/await?","Promises: use .catch() method or second parameter in .then(). Async/await: use try/catch blocks around await statements. .finally() executes regardless of success/failure. Can chain .catch() for different error types.","Good"
"How do you handle errors in promises and async/await?","Use .catch() for promises and try/catch for async/await.","Average"
"How do you handle errors in promises and async/await?","I'm not sure about error handling in async code.","Poor"
"What is the event loop in JavaScript and how does it work?","Event loop manages execution of code, collecting and processing events, executing queued sub-tasks. Call stack executes synchronous code, callback queue holds async callbacks, event loop moves callbacks to call stack when stack is empty.","Good"
"What is the event loop in JavaScript and how does it work?","It handles asynchronous operations and callbacks.","Average"
"What is the event loop in JavaScript and how does it work?","I don't understand the event loop.","Poor"
"Explain the difference between microtasks and macrotasks in JavaScript.","Microtasks (Promise.then, queueMicrotask) have higher priority than macrotasks (setTimeout, setInterval, I/O). Event loop processes all microtasks before moving to next macrotask. This affects execution order of async operations.","Good"
"Explain the difference between microtasks and macrotasks in JavaScript.","They're different types of async tasks with different priorities.","Average"
"Explain the difference between microtasks and macrotasks in JavaScript.","I don't know about microtasks and macrotasks.","Poor"
"How do you create and handle custom promises in JavaScript?","Use Promise constructor: new Promise((resolve, reject) => { /* async operation */ }). Call resolve() for success, reject() for failure. Chain with .then() for success handling, .catch() for errors, .finally() for cleanup.","Good"
"How do you create and handle custom promises in JavaScript?","Create new Promise with resolve and reject functions.","Average"
"How do you create and handle custom promises in JavaScript.","I don't know how to create custom promises.","Poor"
"What is Promise.all() and when would you use it?","Promise.all() waits for all promises in array to resolve, returns array of results in same order. Fails fast - if any promise rejects, entire operation rejects. Use when you need all async operations to complete before proceeding.","Good"
"What is Promise.all() and when would you use it?","It waits for multiple promises to complete.","Average"
"What is Promise.all() and when would you use it?","I'm not familiar with Promise.all().","Poor"
"Explain the difference between Promise.all(), Promise.race(), and Promise.allSettled().","Promise.all() waits for all to resolve, fails if any fails. Promise.race() resolves/rejects with first settled promise. Promise.allSettled() waits for all to settle regardless of outcome, returns status of each.","Good"
"Explain the difference between Promise.all(), Promise.race(), and Promise.allSettled().","They handle multiple promises differently - all, first, or all with status.","Average"
"Explain the difference between Promise.all(), Promise.race(), and Promise.allSettled().","I only know about Promise.all().","Poor"
"What are the differences between var, let, and const in terms of scope and hoisting?","var: function-scoped, hoisted and initialized undefined, can redeclare. let: block-scoped, hoisted but temporal dead zone, can reassign. const: block-scoped, hoisted but temporal dead zone, cannot reassign, must initialize at declaration.","Good"
"What are the differences between var, let, and const in terms of scope and hoisting?","var is function-scoped, let and const are block-scoped with different hoisting behavior.","Average"
"What are the differences between var, let, and const in terms of scope and hoisting?","They're all ways to declare variables with some differences.","Poor"
"How do arrow functions differ from regular functions besides syntax?","Arrow functions: no own 'this' (inherit from enclosing scope), cannot be constructors, no arguments object, cannot be hoisted, implicit return for single expressions, always anonymous.","Good"
"How do arrow functions differ from regular functions besides syntax?","Arrow functions handle 'this' differently and are shorter to write.","Average"
"How do arrow functions differ from regular functions besides syntax?","They're just a shorter way to write functions.","Poor"
"Explain the concept of function currying in JavaScript.","Currying transforms function with multiple arguments into sequence of functions each taking single argument: f(a,b,c) becomes f(a)(b)(c). Enables partial application and function composition. Useful for creating specialized functions.","Good"
"Explain the concept of function currying in JavaScript.","Breaking down functions with multiple parameters into functions with single parameters.","Average"
"Explain the concept of function currying in JavaScript.","I don't know what currying is.","Poor"
"What is the difference between map(), filter(), and reduce() array methods?","map() transforms each element, returns new array same length. filter() returns new array with elements that pass test. reduce() accumulates array into single value using accumulator function. All are pure functions.","Good"
"What is the difference between map(), filter(), and reduce() array methods?","map() transforms, filter() selects, reduce() combines elements.","Average"
"What is the difference between map(), filter(), and reduce() array methods?","They're all array methods for different purposes.","Poor"
"How does the spread operator work with arrays and objects?","Arrays: [...arr] creates shallow copy, [...arr1, ...arr2] concatenates. Objects: {...obj} creates shallow copy, {...obj1, ...obj2} merges (obj2 overwrites obj1). Useful for immutable updates and function arguments.","Good"
"How does the spread operator work with arrays and objects?","It spreads out elements of arrays or properties of objects.","Average"
"How does the spread operator work with arrays and objects?","I'm not familiar with the spread operator.","Poor"
"Explain destructuring assignment in JavaScript with examples.","Extract values from arrays/objects: [a, b] = array; {name, age} = object. Can set defaults: {name = 'Unknown'} = obj. Useful for function parameters: function({name, age}) {}. Can rename: {name: userName} = obj.","Good"
"Explain destructuring assignment in JavaScript with examples.","It extracts values from arrays and objects into variables.","Average"
"Explain destructuring assignment in JavaScript with examples.","I don't know about destructuring.","Poor"
"What are template literals and how do they improve string handling?","Template literals use backticks: `string ${expression}`. Support multiline strings, expression interpolation, tagged templates for custom processing. More readable than concatenation, support embedded expressions and function calls.","Good"
"What are template literals and how do they improve string handling?","They use backticks and allow variable insertion with ${}.","Average"
"What are template literals and how do they improve string handling?","I don't know about template literals.","Poor"
"How do you use the rest parameter in JavaScript functions?","Rest parameter (...args) collects remaining arguments into array: function(first, ...rest) {}. Must be last parameter. Useful for functions with variable arguments. Different from arguments object - rest is real array.","Good"
"How do you use the rest parameter in JavaScript functions?","It collects multiple arguments into an array using ...","Average"
"How do you use the rest parameter in JavaScript functions?","I'm not familiar with rest parameters.","Poor"
"Design a URL shortening service like TinyURL.","To design a URL shortening service, I would use a hashing algorithm to generate a unique short key for each long URL. The mapping between the short key and the long URL would be stored in a distributed database for scalability and availability. I would also implement a load balancer to distribute traffic and a caching layer to improve performance.","Good"
"Design a URL shortening service like TinyURL.","I would use a database to store the long and short URLs. When a user enters a long URL, I'd generate a random short string and save both in the database.","Average"
"Design a URL shortening service like TinyURL.","I'd just use a library to do it.","Poor"
